headline,date,sentiment
The iPhone suggests a Palestinian flag when some people type ‘Jerusalem.’ Apple is working on a fix,"Apr 12, 2024",positive
"The best sales to shop this weekend: CeraVe, Bose, ColorWow and more","Apr 12, 2024",neutral
Taylor Swift's music is back on TikTok,"Apr 12, 2024",neutral
Japan-U.S. relations,"Apr 11, 2024",neutral
"The best sales to shop today: Ninja, Cuisinart, Samsung and more","Apr 10, 2024",neutral
"Japan seeks investment in AI, semiconductors from American companies","Apr 10, 2024",neutral
"The best sales to shop today: Apple, Google, EcoFlow and more","Apr 9, 2024",neutral
5 tips and tricks to get better sound on your Apple TV,"Apr 8, 2024",neutral
155-year-old chocolate company braces for dramatic rise in cocoa prices,"Apr 4, 2024",neutral
"The best sales to shop today: AeroGarden, Sony, Waterpik and more","Apr 3, 2024",neutral
"The 10 best Amazon deals to shop this week: Shark, Bowflex and Bissell","Apr 3, 2024",neutral
This excellent Apple Watch Series 9 just hit a new all-time-low price,"Apr 2, 2024",positive
"Jon Stewart rips into Apple, his old boss, on The Daily Show","Apr 2, 2024",neutral
This Tokyo 'masterpiece café' is a step back in time for classical music lovers,"Mar 31, 2024",neutral
This Tokyo rice ball restaurant is grounded in family tradition,"Mar 31, 2024",neutral
Chocolatiers struggle to sustain profits as cocoa prices surge,"Mar 31, 2024",neutral
The price of chocolate is soaring. Here's why,"Mar 31, 2024",neutral
Teen Japanese slugger follows in Ohtani's footsteps,"Mar 29, 2024",positive
Apple’s iMac M3 is the perfect home office upgrade at this all-time low price,"Mar 29, 2024",positive
"The best sales to shop today: Drunk Elephant, Apple, Macy’s and more","Mar 28, 2024",neutral
Behind the remarkable rise of the Savannah Bananas,"Mar 28, 2024",neutral
The pricey Apple Vision Pro just got its first-ever discount,"Mar 28, 2024",positive
The MacBook Pro M3 just hit its lowest price ever — get it while you can,"Mar 28, 2024",positive
A 4-pack of Apple’s beloved AirTags is back down to its lowest price,"Mar 28, 2024",positive
The excellent new MacBook Air M3 is already $100 off right now,"Mar 27, 2024",positive
Apple announces its annual developers conference is set for June 10,"Mar 26, 2024",positive
Galloway: EU is taking a tougher stance on tech than the U.S.,"Mar 26, 2024",positive
3 ways Apple’s monopoly lawsuit could change the iPhone experience for fans,"Mar 26, 2024",neutral
Shohei Ohtani says he never gambled on sports,"Mar 26, 2024",neutral
It’s your last chance to shop the 165 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 25, 2024",neutral
It’s your last day to save on the 35 best tech deals from Amazon’s Prime Day-like Big Spring Sale,"Mar 25, 2024",neutral
"Apple, Google and Meta at risk of ‘heavy’ fines as Europe launches new probes","Mar 25, 2024",positive
We found the 35 best tech deals from Amazon’s Prime Day-like Big Spring Sale,"Mar 24, 2024",neutral
We found the 189 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 24, 2024",neutral
We found the 35 best tech deals from Amazon’s Prime Day-like Big Spring Sale,"Mar 23, 2024",neutral
We found the 189 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 23, 2024",neutral
These two phrases in Harry and Meghan's statement stood out to royal analyst,"Mar 23, 2024",neutral
Apple co-founder calls out 'hypocrisy' of politicians calling for TikTok ban,"Mar 23, 2024",positive
We found the 189 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 22, 2024",neutral
We found the 35 best tech deals from Amazon’s Prime Day-like Big Spring Sale,"Mar 22, 2024",neutral
Master your Apple Vision Pro with these 11 tips and tricks,"Mar 22, 2024",neutral
Apple customers love Apple. The Biden administration thinks they could do better,"Mar 22, 2024",positive
"Breton: The EU is not anti-tech, it just has rules","Mar 22, 2024",neutral
We found the 174 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 22, 2024",neutral
Apple faces antitrust suit alleging monopoly,"Mar 22, 2024",negative
US sues Apple in antitrust lawsuit,"Mar 21, 2024",negative
We found the 30 best tech deals from Amazon’s Prime Day-like Big Spring Sale,"Mar 21, 2024",neutral
"Green bubbles, Apple Pay and other reasons why America says Apple is breaking the law","Mar 21, 2024",positive
The AirPods Pro 2 are down to a new all-time low price for Amazon’s Big Spring Sale,"Mar 21, 2024",positive
Attorney general outlines antitrust lawsuit against Apple,"Mar 21, 2024",negative
Apple sued in a landmark iPhone monopoly lawsuit,"Mar 21, 2024",negative
AI fever grips World Economic Forum,"Mar 21, 2024",neutral
Tim Cook is on a charm offensive in China to revive flagging iPhone sales,"Mar 21, 2024",negative
We found the 150 best Prime Day-level deals from Amazon’s Big Spring Sale,"Mar 21, 2024",neutral
"Meta, Microsoft, X and Match Group challenge Apple over app store terms","Mar 20, 2024",positive
Why you should think twice before buying a new phone,"Mar 20, 2024",positive
Ohtani makes Dodgers debut as Major League Baseball goes global,"Mar 20, 2024",neutral
CNN projects Trump-endorsed Moreno wins key Ohio GOP Senate primary,"Mar 20, 2024",neutral
Apple is getting serious about AI,"Mar 19, 2024",positive
Microsoft president makes big bet on Europe with AI investments,"Mar 18, 2024",neutral
Apple’s M1 MacBook Air is down to a new all-time low price,"Mar 15, 2024",positive
